                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.45156,                0.35973,                 1.8013,                0.82852,                      1,                0.47487,                0.99342,                0.92837,                      1,                0.47487,                0.99342,                0.96046,                0.33728,                0.19549,                 2.1302,                0.77288,               0.070517,              0.0032759,              0.0032759
                      1,                0.48244,                 0.2394,                0.70762,                0.82688,                0.99131,                0.99239,                  0.995,                 0.9257,                0.99131,                0.99239,                  0.995,                0.98475,                0.35921,                0.17843,                 1.2016,                0.79106,               0.040386,              0.0064783,              0.0064783
                      2,                 0.5813,                0.22581,                0.69148,                0.85357,                      1,                0.98907,                  0.995,                0.87362,                      1,                0.98907,                  0.995,                0.95049,                0.47463,                0.18247,                0.69361,                0.84234,               0.010124,              0.0095488,              0.0095488
                      3,                0.58364,                0.21768,                  0.646,                0.86379,                0.98936,                      1,                0.99474,                0.89523,                0.98936,                      1,                0.99474,                0.96244,                0.47733,                0.18077,                0.58892,                0.84838,               0.009406,               0.009406,               0.009406
                      4,                0.56079,                 0.2217,                0.58752,                0.86032,                0.99084,                      1,                  0.995,                 0.8938,                0.99084,                      1,                  0.995,                0.95787,                0.48673,                 0.2506,                0.49617,                0.84933,               0.009406,               0.009406,               0.009406
                      5,                0.52179,                0.20582,                 0.5446,                0.85617,                0.99136,                0.99755,                0.99483,                0.90921,                0.99136,                0.99755,                0.99483,                0.97598,                0.45406,                0.16015,                 0.4381,                0.82688,               0.009208,               0.009208,               0.009208
                      6,                0.49099,                0.18796,                0.48815,                0.86129,                0.99088,                      1,                  0.995,                0.91169,                0.99088,                      1,                  0.995,                0.97588,                0.43949,                0.18535,                0.40391,                0.83982,                0.00901,                0.00901,                0.00901
                      7,                0.47383,                0.18677,                 0.4555,                0.85487,                0.99804,                 0.9913,                  0.995,                0.95901,                0.99804,                 0.9913,                  0.995,                0.97091,                0.33799,                0.17194,                0.36476,                0.82737,               0.008812,               0.008812,               0.008812
                      8,                0.43601,                0.17968,                0.43269,                0.84666,                 0.9909,                      1,                  0.995,                0.93701,                 0.9909,                      1,                  0.995,                0.96558,                0.36853,                0.14062,                0.35805,                0.82223,               0.008614,               0.008614,               0.008614
                      9,                0.42834,                0.18148,                0.40909,                0.85092,                0.98645,                 0.9913,                0.99474,                0.93438,                0.98645,                 0.9913,                0.99474,                0.95537,                0.36121,                0.22245,                0.35146,                0.82409,               0.008416,               0.008416,               0.008416
                     10,                 0.4073,                0.16552,                 0.3863,                0.83431,                0.99098,                      1,                0.99483,                0.96084,                0.99098,                      1,                0.99483,                0.97385,                 0.2868,                0.15236,                0.30188,                 0.8158,               0.008218,               0.008218,               0.008218
                     11,                0.38765,                0.15333,                0.37206,                0.82833,                0.99087,                      1,                  0.995,                0.93888,                0.99087,                      1,                  0.995,                0.96396,                0.33386,                0.15157,                0.32177,                0.81295,                0.00802,                0.00802,                0.00802
