                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.44913,                0.35718,                 1.7861,                0.82828,                      1,                0.59407,                0.99397,                0.93248,                      1,                0.59407,                0.99397,                0.97087,                0.34038,                0.18308,                 2.0876,                0.77151,               0.070517,              0.0032759,              0.0032759
                      1,                0.48943,                0.23349,                0.70555,                0.82805,                0.99129,                0.98944,                0.99491,                0.91021,                0.99129,                0.98944,                0.99491,                 0.9845,                0.38487,                0.16638,                 1.0636,                0.78734,               0.040504,              0.0065961,              0.0065961
                      2,                0.59471,                0.23409,                0.67703,                0.85845,                0.99125,                0.98525,                0.99491,                0.88571,                0.99125,                0.98525,                0.99491,                0.97772,                0.51357,                0.19107,                0.86009,                0.85391,               0.010478,              0.0099032,              0.0099032
                      3,                0.61477,                0.22028,                0.65971,                0.87117,                0.99137,                0.99895,                  0.995,                0.88967,                0.99137,                0.99895,                  0.995,                0.97713,                0.49864,                0.18106,                0.50678,                0.85032,              0.0099406,              0.0099406,              0.0099406
                      4,                0.57306,                  0.216,                 0.6139,                0.86804,                0.99136,                0.99777,                0.99457,                0.87972,                0.99136,                0.99777,                0.99457,                0.95659,                 0.4844,                0.25079,                0.89957,                0.85482,              0.0099406,              0.0099406,              0.0099406
                      5,                0.52564,                0.21149,                0.57241,                0.85339,                0.99055,                      1,                0.99474,                0.89449,                0.99055,                      1,                0.99474,                0.95525,                0.44283,                0.18123,                0.64765,                 0.8254,              0.0099208,              0.0099208,              0.0099208
                      6,                0.51951,                0.20388,                 0.4999,                0.86354,                0.99137,                0.99935,                0.99276,                0.91716,                0.99137,                0.99935,                0.99276,                0.96931,                 0.4365,                0.25396,                0.43254,                0.82784,               0.009901,               0.009901,               0.009901
                      7,                0.50016,                0.20587,                0.47171,                0.85684,                0.96497,                 0.9913,                0.99214,                0.92257,                0.97141,                0.88631,                0.89491,                0.83448,                0.34931,                 2.2869,                0.44905,                0.81622,              0.0098812,              0.0098812,              0.0098812
                      8,                 0.4739,                0.46046,                0.47501,                0.85843,                0.99085,                      1,                0.99483,                0.93232,                0.99085,                      1,                0.99483,                0.96958,                0.34603,                0.19859,                0.35538,                0.81984,              0.0098614,              0.0098614,              0.0098614
                      9,                 0.4644,                  0.229,                0.44146,                0.85457,                0.99104,                      1,                 0.9944,                0.92816,                0.99104,                      1,                 0.9944,                0.97602,                0.37495,                 0.1817,                 0.3652,                0.81948,              0.0098416,              0.0098416,              0.0098416
                     10,                0.44553,                0.18907,                0.42374,                0.84683,                0.99088,                      1,                0.99491,                0.93924,                0.99088,                      1,                0.99491,                0.97001,                0.32457,                0.16781,                0.33423,                0.81905,              0.0098218,              0.0098218,              0.0098218
                     11,                0.42309,                0.17375,                0.41207,                0.83997,                0.99094,                      1,                0.99457,                0.93153,                0.99094,                      1,                0.99457,                0.98378,                0.34735,                 0.1435,                0.32685,                0.81193,               0.009802,               0.009802,               0.009802
                     12,                0.41743,                0.19858,                0.38524,                0.83749,                0.99054,                      1,                0.99457,                0.94552,                0.99054,                      1,                0.99457,                0.93377,                0.33228,                0.25628,                0.34993,                0.82273,              0.0097822,              0.0097822,              0.0097822
                     13,                0.41394,                0.16896,                0.37223,                0.83652,                      1,                0.99769,                  0.995,                0.96129,                      1,                0.99769,                  0.995,                0.98211,                0.29584,                0.14308,                0.29368,                0.81087,              0.0097624,              0.0097624,              0.0097624
                     14,                0.40262,                0.16134,                0.37284,                  0.836,                0.98241,                      1,                0.99483,                0.95673,                0.98241,                      1,                0.99483,                0.97842,                0.28958,                0.14197,                0.29653,                0.80973,              0.0097426,              0.0097426,              0.0097426
                     15,                0.39428,                 0.1636,                0.35536,                 0.8361,                0.99878,                 0.9913,                  0.995,                0.93733,                0.99878,                 0.9913,                  0.995,                0.97373,                0.34307,                 0.1788,                0.28298,                0.84167,              0.0097228,              0.0097228,              0.0097228
                     16,                0.38107,                0.16331,                0.35121,                0.83786,                0.99476,                 0.9913,                  0.995,                0.98105,                0.99476,                 0.9913,                  0.995,                0.97048,                 0.2594,                0.16057,                0.26638,                0.80519,               0.009703,               0.009703,               0.009703
                     17,                0.36887,                0.17912,                0.34245,                0.82159,                0.99443,                      1,                  0.995,                0.94869,                0.99443,                      1,                  0.995,                 0.9621,                0.34221,                0.15923,                 0.2824,                0.82305,              0.0096832,              0.0096832,              0.0096832
                     18,                0.36726,                0.15792,                0.33711,                0.82712,                0.99138,                0.99958,                  0.995,                0.97244,                0.99138,                0.99958,                  0.995,                0.97152,                0.27285,                0.14907,                0.26305,                0.81013,              0.0096634,              0.0096634,              0.0096634
                     19,                0.36226,                0.15828,                 0.3268,                0.82599,                0.99874,                 0.9913,                  0.995,                0.96396,                0.99874,                 0.9913,                  0.995,                0.96209,                0.30949,                0.22758,                0.29219,                0.81008,              0.0096436,              0.0096436,              0.0096436
                     20,                0.37098,                0.16468,                0.32972,                0.83204,                0.99213,                 0.9913,                  0.995,                0.98124,                0.99213,                 0.9913,                  0.995,                0.97743,                0.25813,                0.14796,                0.24238,                0.79981,              0.0096238,              0.0096238,              0.0096238
                     21,                0.34654,                0.15858,                0.31127,                 0.8255,                0.99063,                      1,                  0.995,                0.98408,                0.99063,                      1,                  0.995,                0.97341,                0.24135,                0.14086,                0.24301,                 0.7901,               0.009604,               0.009604,               0.009604
                     22,                0.34621,                0.14872,                0.31273,                0.83016,                0.98288,                 0.9983,                  0.995,                  0.987,                0.98288,                 0.9983,                  0.995,                0.98209,                0.24029,                0.14241,                0.22705,                 0.8013,              0.0095842,              0.0095842,              0.0095842
                     23,                0.34159,                0.16096,                0.30366,                0.82494,                0.99956,                      1,                  0.995,                0.98329,                0.99956,                      1,                  0.995,                0.97446,                0.23103,                0.16257,                0.22744,                0.79696,              0.0095644,              0.0095644,              0.0095644
                     24,                0.34089,                0.15951,                 0.3048,                0.82756,                0.99944,                      1,                  0.995,                0.98325,                0.99944,                      1,                  0.995,                0.97066,                0.24869,                 0.1729,                 0.2396,                0.80274,              0.0095446,              0.0095446,              0.0095446
                     25,                0.33289,                0.15823,                0.29438,                0.81953,                0.99972,                      1,                  0.995,                0.98336,                0.99972,                      1,                  0.995,                0.97911,                0.23748,                0.14897,                 0.2269,                0.79201,              0.0095248,              0.0095248,              0.0095248
                     26,                0.32977,                0.14371,                0.29365,                0.82285,                0.99939,                      1,                  0.995,                 0.9864,                0.99939,                      1,                  0.995,                0.98753,                0.22401,                0.13338,                0.21423,                0.79634,               0.009505,               0.009505,               0.009505
                     27,                0.33098,                0.15439,                0.29426,                0.82457,                0.99955,                      1,                  0.995,                0.97888,                0.99955,                      1,                  0.995,                0.97443,                0.25043,                 0.1723,                0.23076,                0.80391,              0.0094852,              0.0094852,              0.0094852
                     28,                0.32408,                0.16125,                0.28186,                0.82064,                0.99034,                      1,                0.99491,                0.98215,                0.99034,                      1,                0.99491,                 0.9674,                0.25005,                0.14573,                0.21495,                0.79858,              0.0094654,              0.0094654,              0.0094654
                     29,                 0.3208,                0.16124,                 0.2813,                0.82015,                0.99087,                      1,                0.99448,                 0.9886,                0.99087,                      1,                0.99448,                0.98308,                0.20269,                0.14627,                 0.2146,                0.78411,              0.0094456,              0.0094456,              0.0094456
                     30,                0.31904,                0.17602,                0.28372,                0.82404,                0.99953,                 0.9913,                  0.995,                0.98412,                0.99953,                 0.9913,                  0.995,                 0.9759,                 0.2212,                0.13941,                0.21373,                 0.7897,              0.0094258,              0.0094258,              0.0094258
                     31,                0.31752,                0.16248,                0.28282,                0.81742,                0.99033,                      1,                  0.995,                0.98045,                0.99033,                      1,                  0.995,                0.98285,                0.22584,                0.15261,                 0.2079,                0.79124,               0.009406,               0.009406,               0.009406
                     32,                0.31806,                0.14932,                 0.2811,                 0.8248,                0.99099,                      1,                  0.995,                0.97809,                0.99099,                      1,                  0.995,                0.97751,                0.20951,                0.12628,                0.21452,                0.79846,              0.0093862,              0.0093862,              0.0093862
                     33,                0.31671,                0.14112,                0.28273,                0.82234,                      1,                0.99951,                  0.995,                0.99161,                      1,                0.99951,                  0.995,                0.98318,                0.19061,                0.13025,                0.19265,                0.78811,              0.0093664,              0.0093664,              0.0093664
                     34,                0.30777,                0.14798,                0.26685,                0.81284,                0.99726,                      1,                  0.995,                0.98201,                0.99726,                      1,                  0.995,                 0.9773,                0.20653,                 0.1377,                0.19991,                0.79514,              0.0093466,              0.0093466,              0.0093466
                     35,                0.29726,                0.13944,                0.26612,                 0.8165,                0.99376,                 0.9913,                  0.995,                  0.989,                0.99133,                0.99373,                  0.995,                0.98397,                0.22246,                0.14284,                0.21888,                 0.7869,              0.0093268,              0.0093268,              0.0093268
                     36,                0.29794,                0.14545,                 0.2693,                0.81717,                0.99951,                      1,                  0.995,                0.98706,                0.99951,                      1,                  0.995,                0.98065,                0.20218,                0.14096,                0.19528,                0.79114,               0.009307,               0.009307,               0.009307
                     37,                0.29686,                0.14342,                0.25913,                 0.8091,                0.99953,                      1,                  0.995,                0.98775,                0.99953,                      1,                  0.995,                0.98019,                0.18237,                0.15001,                0.18525,                0.79677,              0.0092872,              0.0092872,              0.0092872
                     38,                0.28921,                 0.1444,                0.25481,                0.81197,                0.99935,                      1,                  0.995,                0.97972,                0.99935,                      1,                  0.995,                0.96555,                0.24112,                0.13638,                0.19144,                0.81219,              0.0092674,              0.0092674,              0.0092674
                     39,                0.28149,                0.13243,                0.24822,                0.80937,                0.99947,                      1,                  0.995,                 0.9826,                0.99947,                      1,                  0.995,                0.98207,                0.21488,                 0.1306,                0.19345,                0.80045,              0.0092476,              0.0092476,              0.0092476
                     40,                0.28256,                0.12973,                0.24808,                 0.8026,                0.99952,                      1,                  0.995,                0.98752,                0.99952,                      1,                  0.995,                0.98254,                0.18708,                0.13335,                0.18942,                0.78641,              0.0092278,              0.0092278,              0.0092278
                     41,                0.28456,                0.12853,                 0.2546,                0.81624,                0.99021,                      1,                  0.995,                0.99391,                0.99021,                      1,                  0.995,                0.98568,                0.18538,                0.12034,                 0.1842,                0.78281,               0.009208,               0.009208,               0.009208
                     42,                0.28164,                0.14304,                0.25339,                0.80994,                0.99773,                      1,                  0.995,                0.99093,                0.99773,                      1,                  0.995,                0.98032,                0.19674,                0.12963,                0.19038,                0.79362,              0.0091882,              0.0091882,              0.0091882
                     43,                0.28461,                0.13375,                0.25084,                0.81542,                0.99938,                      1,                  0.995,                 0.9906,                0.99938,                      1,                  0.995,                0.98423,                0.17504,                 0.1275,                0.18864,                0.77851,              0.0091684,              0.0091684,              0.0091684
                     44,                0.27972,                0.13461,                0.24489,                0.81178,                0.99918,                      1,                  0.995,                0.99222,                0.99918,                      1,                  0.995,                0.98483,                0.18325,                0.11392,                 0.1877,                0.78045,              0.0091486,              0.0091486,              0.0091486
                     45,                0.27982,                0.15016,                0.24484,                0.81293,                0.99902,                      1,                  0.995,                0.98742,                0.99902,                      1,                  0.995,                0.97902,                 0.1828,                0.13507,                0.17631,                0.78969,              0.0091288,              0.0091288,              0.0091288
                     46,                0.27537,                0.14033,                0.24673,                0.80694,                0.99908,                      1,                  0.995,                0.98434,                0.99908,                      1,                  0.995,                 0.9709,                0.20744,                0.14896,                0.18669,                0.79369,               0.009109,               0.009109,               0.009109
                     47,                0.27618,                 0.1437,                0.24094,                 0.8117,                0.99138,                0.99956,                  0.995,                0.99317,                0.99138,                0.99956,                  0.995,                0.97929,                0.17623,                 0.1247,                0.17875,                0.77862,              0.0090892,              0.0090892,              0.0090892
                     48,                0.27715,                0.14349,                0.24595,                0.80784,                0.99772,                      1,                  0.995,                0.98764,                0.99772,                      1,                  0.995,                0.98888,                0.19108,                0.13667,                0.18778,                0.78982,              0.0090694,              0.0090694,              0.0090694
                     49,                0.26929,                0.14265,                0.23282,                0.81003,                0.99949,                      1,                  0.995,                0.99193,                0.99949,                      1,                  0.995,                0.97491,                 0.1632,                0.13616,                0.15738,                0.77941,              0.0090496,              0.0090496,              0.0090496
                     50,                 0.2703,                0.15118,                 0.2328,                0.81204,                0.99905,                      1,                  0.995,                0.98693,                0.99905,                      1,                  0.995,                 0.9765,                0.16723,                0.13036,                0.17556,                0.78577,              0.0090298,              0.0090298,              0.0090298
                     51,                0.26935,                0.13945,                0.24372,                0.80776,                 0.9904,                      1,                0.99491,                0.99351,                 0.9904,                      1,                0.99491,                 0.9825,                0.16432,                 0.1414,                0.18187,                0.77998,                0.00901,                0.00901,                0.00901
                     52,                0.26251,                0.13498,                0.22993,                0.80795,                0.99518,                      1,                  0.995,                0.98766,                0.99518,                      1,                  0.995,                0.98261,                0.16475,                0.12498,                0.17218,                0.78135,              0.0089902,              0.0089902,              0.0089902
                     53,                0.25561,                0.13421,                0.22925,                0.81109,                0.99047,                      1,                0.99405,                0.98558,                0.99047,                      1,                0.99405,                0.96902,                0.17636,                0.11926,                0.17657,                0.79236,              0.0089704,              0.0089704,              0.0089704
                     54,                0.26021,                0.13629,                0.22448,                0.80856,                      1,                0.99912,                  0.995,                0.99085,                      1,                0.99912,                  0.995,                0.98295,                0.16159,                0.12141,                0.16537,                0.78147,              0.0089506,              0.0089506,              0.0089506
