                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.45024,                0.35889,                 1.7812,                0.82848,                      1,                0.52417,                0.99327,                0.93321,                      1,                0.52417,                0.99327,                0.96351,                0.31972,                0.16772,                 2.1038,                0.77323,               0.070517,              0.0032759,              0.0032759
                      1,                0.48681,                0.23985,                0.70052,                0.82711,                0.99223,                0.98261,                0.99491,                0.89849,                0.99223,                0.98261,                0.99491,                 0.9856,                0.44978,                0.19517,                 1.3291,                0.81059,               0.040504,              0.0065961,              0.0065961
                      2,                0.57128,                0.23981,                0.66339,                0.85638,                0.96851,                0.96522,                0.98887,                0.87724,                0.96851,                0.96522,                0.98887,                0.94401,                0.49063,                0.24769,                0.78301,                0.83942,               0.010478,              0.0099032,              0.0099032
                      3,                0.61747,                0.22928,                0.66057,                0.86919,                0.99293,                 0.9913,                  0.995,                0.88559,                0.99293,                 0.9913,                  0.995,                0.93634,                0.50144,                0.19418,                 0.5135,                0.85929,              0.0099406,              0.0099406,              0.0099406
                      4,                0.55749,                0.22388,                0.59868,                 0.8677,                0.99109,                      1,                0.99483,                0.91511,                0.99109,                      1,                0.99483,                0.94925,                0.41935,                0.23216,                0.48111,                0.83376,              0.0099406,              0.0099406,              0.0099406
                      5,                0.53287,                0.23941,                 0.5575,                0.85591,                0.99137,                0.99929,                  0.995,                0.91861,                0.99137,                0.99929,                  0.995,                0.95268,                0.40849,                0.23736,                0.44695,                0.81981,              0.0099208,              0.0099208,              0.0099208
                      6,                 0.5104,                0.20521,                0.50888,                0.85993,                0.99137,                0.99947,                  0.995,                0.89505,                0.99137,                0.99947,                  0.995,                0.95772,                0.47777,                0.20108,                0.44612,                0.84316,               0.009901,               0.009901,               0.009901
                      7,                0.49181,                0.21498,                0.48661,                0.85586,                0.99034,                      1,                0.99397,                0.95258,                0.99034,                      1,                0.99397,                0.97148,                0.31352,                0.16263,                0.35541,                0.81674,              0.0098812,              0.0098812,              0.0098812
                      8,                0.47744,                0.20014,                 0.4565,                0.85564,                      1,                0.99878,                  0.995,                0.89538,                      1,                0.99878,                  0.995,                0.94465,                0.48339,                0.21057,                0.42583,                0.85384,              0.0098614,              0.0098614,              0.0098614
                      9,                0.46356,                0.20776,                0.44156,                0.85811,                0.99137,                0.99928,                0.99474,                0.92188,                0.99137,                0.99928,                0.99474,                0.93383,                0.39385,                0.21682,                  0.374,                0.83199,              0.0098416,              0.0098416,              0.0098416
                     10,                0.44792,                0.18548,                0.41749,                0.84726,                0.99094,                      1,                0.99474,                0.95918,                0.99094,                      1,                0.99474,                0.97838,                0.31981,                0.14932,                0.32499,                0.81173,              0.0098218,              0.0098218,              0.0098218
                     11,                0.42471,                0.17873,                0.39166,                0.83884,                0.99078,                      1,                0.99491,                0.94263,                0.99078,                      1,                0.99491,                0.95689,                0.32751,                 0.1656,                0.34067,                 0.8088,               0.009802,               0.009802,               0.009802
                     12,                0.42382,                0.18628,                0.38018,                0.83971,                0.99083,                      1,                0.99397,                0.93233,                0.99083,                      1,                0.99397,                0.96435,                 0.3207,                0.14107,                0.33713,                0.80582,              0.0097822,              0.0097822,              0.0097822
                     13,                 0.4035,                0.16911,                0.36576,                0.83372,                0.99078,                      1,                  0.995,                0.94497,                0.99078,                      1,                  0.995,                0.97534,                0.33021,                0.14288,                0.30558,                 0.8078,              0.0097624,              0.0097624,              0.0097624
                     14,                0.40528,                0.15704,                0.36338,                0.83803,                0.99091,                      1,                0.99466,                0.96049,                0.99091,                      1,                0.99466,                0.97948,                0.30499,                0.13986,                 0.2851,                0.81698,              0.0097426,              0.0097426,              0.0097426
                     15,                0.39119,                0.15261,                0.34538,                0.83606,                0.99931,                      1,                  0.995,                0.95197,                0.99931,                      1,                  0.995,                0.95789,                0.30159,                0.14813,                0.28474,                0.82083,              0.0097228,              0.0097228,              0.0097228
                     16,                0.38284,                0.16192,                0.34321,                0.83694,                      1,                0.99859,                  0.995,                0.96012,                      1,                0.99859,                  0.995,                 0.9788,                0.27678,                0.12724,                 0.2465,                0.81265,               0.009703,               0.009703,               0.009703
                     17,                0.36848,                0.16436,                0.34096,                0.82424,                      1,                0.99931,                  0.995,                0.97167,                      1,                0.99931,                  0.995,                0.98054,                0.29787,                0.13794,                0.27708,                0.81298,              0.0096832,              0.0096832,              0.0096832
                     18,                0.36889,                0.14957,                0.33352,                0.82445,                      1,                0.99978,                  0.995,                0.97363,                      1,                0.99978,                  0.995,                 0.9739,                0.24606,                0.15741,                0.25567,                0.79987,              0.0096634,              0.0096634,              0.0096634
                     19,                0.35968,                0.14263,                0.31953,                0.82423,                0.99853,                      1,                  0.995,                0.97837,                0.99853,                      1,                  0.995,                0.97602,                0.24329,                0.13157,                0.24524,                0.80133,              0.0096436,              0.0096436,              0.0096436
                     20,                0.35477,                0.14325,                0.32113,                 0.8296,                0.99942,                      1,                  0.995,                  0.974,                0.99942,                      1,                  0.995,                0.96642,                0.26167,                0.13464,                0.23904,                0.79584,              0.0096238,              0.0096238,              0.0096238
                     21,                 0.3366,                0.14836,                0.30193,                0.82658,                 0.9994,                      1,                  0.995,                0.97286,                 0.9994,                      1,                  0.995,                0.96853,                0.24585,                0.13706,                 0.2202,                0.79728,               0.009604,               0.009604,               0.009604
                     22,                0.34248,                0.15144,                0.30771,                0.83066,                0.99977,                      1,                  0.995,                0.97884,                0.99977,                      1,                  0.995,                0.97784,                0.23842,                0.15673,                0.22813,                0.79058,              0.0095842,              0.0095842,              0.0095842
                     23,                0.33605,                 0.1583,                0.29482,                0.82163,                      1,                 0.9978,                  0.995,                0.97889,                      1,                 0.9978,                  0.995,                0.98021,                0.23641,                0.14613,                0.21985,                0.81178,              0.0095644,              0.0095644,              0.0095644
                     24,                  0.336,                0.14739,                0.29633,                0.82534,                      1,                0.99988,                  0.995,                0.97612,                      1,                0.99988,                  0.995,                 0.9821,                0.23564,                0.13851,                0.22191,                0.80087,              0.0095446,              0.0095446,              0.0095446
                     25,                 0.3322,                0.14215,                0.29028,                0.81924,                0.99944,                      1,                  0.995,                0.97025,                0.99944,                      1,                  0.995,                0.96236,                0.25401,                0.15124,                0.22971,                0.81065,              0.0095248,              0.0095248,              0.0095248
                     26,                0.31984,                0.13847,                0.28596,                0.82217,                0.99944,                      1,                  0.995,                0.97737,                0.99944,                      1,                  0.995,                0.97386,                0.24408,                 0.1439,                0.21965,                0.80951,               0.009505,               0.009505,               0.009505
                     27,                0.32929,                 0.1592,                0.29902,                0.82182,                      1,                0.99695,                  0.995,                0.97288,                      1,                0.99695,                  0.995,                0.96462,                0.24666,                0.13988,                0.25361,                0.80362,              0.0094852,              0.0094852,              0.0094852
                     28,                0.31743,                0.14908,                0.27936,                0.81986,                0.99079,                      1,                  0.995,                 0.9776,                0.99079,                      1,                  0.995,                0.97754,                0.24183,                0.16679,                0.21923,                0.80873,              0.0094654,              0.0094654,              0.0094654
                     29,                0.30777,                0.16259,                0.27214,                0.81667,                      1,                0.99982,                  0.995,                0.98774,                      1,                0.99982,                  0.995,                0.97233,                0.20988,                0.13161,                 0.1831,                0.80044,              0.0094456,              0.0094456,              0.0094456
                     30,                0.31425,                0.15958,                0.27163,                0.81966,                0.99945,                      1,                  0.995,                0.99086,                0.99945,                      1,                  0.995,                0.97947,                0.20593,                 0.1395,                0.19377,                0.78941,              0.0094258,              0.0094258,              0.0094258
                     31,                0.31054,                0.15424,                0.27282,                0.81587,                0.99939,                      1,                  0.995,                 0.9882,                0.99939,                      1,                  0.995,                0.98351,                0.20808,                0.14793,                0.20936,                0.78452,               0.009406,               0.009406,               0.009406
                     32,                0.31974,                0.15354,                0.27868,                 0.8211,                0.99997,                      1,                  0.995,                0.98851,                0.99997,                      1,                  0.995,                0.97726,                0.21175,                0.14525,                0.20453,                0.79092,              0.0093862,              0.0093862,              0.0093862
                     33,                0.31588,                0.14718,                 0.2763,                0.81795,                      1,                0.99963,                  0.995,                0.98102,                      1,                0.99963,                  0.995,                0.97415,                0.23142,                 0.1334,                0.20676,                0.79678,              0.0093664,              0.0093664,              0.0093664
                     34,                0.30677,                0.14592,                0.26805,                0.81643,                0.99986,                      1,                  0.995,                0.98093,                0.99986,                      1,                  0.995,                0.97379,                0.21549,                0.13769,                0.19625,                0.79843,              0.0093466,              0.0093466,              0.0093466
                     35,                0.29572,                0.14396,                0.26069,                0.81929,                0.99112,                      1,                  0.995,                0.98923,                0.99112,                      1,                  0.995,                0.97541,                0.18747,                0.14705,                 0.1984,                0.77882,              0.0093268,              0.0093268,              0.0093268
                     36,                0.30581,                 0.1802,                0.26715,                0.81884,                0.99914,                      1,                  0.995,                0.98441,                0.99914,                      1,                  0.995,                0.97662,                0.21669,                0.15419,                0.18558,                0.79268,               0.009307,               0.009307,               0.009307
                     37,                0.30588,                0.14048,                0.25663,                0.81164,                0.99888,                      1,                  0.995,                 0.9894,                0.99888,                      1,                  0.995,                0.98112,                0.19729,                0.13852,                0.18893,                 0.7888,              0.0092872,              0.0092872,              0.0092872
